Longitude(degree)  Latitude(degree)    H(ortho. Height)(meter)  h(ellip. Height)(meter)         
end_of_head =============================================================================
4.88116282029059  61.0876024514533  		32.547              78.29               
5.7250060967603   62.2295051197329  		197.3605            242.373             
5.67187933107317  58.7256397016947  		54.12               97.709              
6.14839406303722  58.5339499663204  		100.444             144.067             
6.70181077898335  62.4960190545968  		43.605              88.139              
7.21271383571054  61.328982304362   		310.816             356.929             
6.50599279447343  60.973555113207   		912.9945            959.76              
8.06078646727371  62.9742324452668  		38.561              82.254              
8.09674159888888  59.6891961426091  		754.645             799.04              
8.83303109524051  63.7361545834396  		8.9177              50.591              
9.20994104200872  63.5060396603432  		31.3034             72.716              
8.6118542345411   61.1405780304719  		524.474             569.676             
9.08908505908786  60.5967537532988  		160.11              202.085             
8.88243941988577  59.114063846312   		138.637             180.313             
10.1005186305857  61.5365719321252  		189.244             230.488             
10.9335039795077  64.2437941808669  		389.808             429.436             
11.0396488768151  63.2262343880869  		252.742             292.096             
10.6981804320299  60.8692469094337  		123.089             161.824             
11.1910054584412  59.8924219655188  		201.416             239.632             
12.1899237237621  65.3642751374282  		42.047              78.917              
12.0110866437628  60.1865179298967  		160.276             196.048             
11.5001093616294  58.9730286490469  		62.2792             98.531              
12.5473444752548  65.985646431583   		87.282              123.07              
12.3816377998428  61.4228329738414  		687.724             723.926             
13.8052829477476  68.2560372607005  		26.239              63.923              
13.7186540236794  65.5463464205148  		404.927             439.392             
14.6640791074249  67.4008080009231  		41.363              72.389              
16.1151141311439  69.3237492579004  		5.414               40.927              
15.8791088803622  68.5112554376922  		16.71               49.86               
15.504980532794   67.3512645393999  		63.257              93.052              
16.5389710057442  68.7858269340561  		31.326              64.419              
18.1197979450867  69.157853564245   		4.097               35.714              
17.620153061379   68.5966635813801  		359.477             391.057             
19.0484017453606  69.1443545673817  		236.035             266.748             
22.3324717676515  70.195243067155   		19.529              47.553              
24.5015249746051  70.4333470526738  		75.635              99.819              
26.1815500974173  69.7725172073436  		146.142             171.145             
27.015819755305   69.9221161863452  		99.597              123.864             
29.8287387644052  70.0633201796376  		40.839              60.756              
31.0343967225261  70.3336838070937  		163.73              182.167             
